Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,MonthlyIncome_Squared,DistanceFromHome_Squared,mean_daily_worked_hours,yearly_absents,average_entry_time
51,0,Travel_Rarely,Sales,2,Life Sciences,Female,1,Healthcare Representative,Married,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,17202945600,36,7.373650622605364,29,10.001422413793104
31,1,Travel_Frequently,Research & Development,1,Life Sciences,Female,1,Research Scientist,Single,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,1754772100,100,7.718968926553672,25,9.988073210922789
32,0,Travel_Frequently,Research & Development,4,Other,Male,4,Sales Executive,Married,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,37357158400,289,7.013240358126722,19,10.025060835629017
38,0,Non-Travel,Research & Development,5,Life Sciences,Male,3,Human Resources,Married,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,6923904100,4,7.193678486997636,26,9.981829787234043
32,0,Travel_Rarely,Research & Development,1,Medical,Male,1,Sales Executive,Single,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,548496400,100,8.006174603174603,16,9.998493197278911
46,0,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,1657304100,64,10.796095874355368,24,9.98897562119081
28,1,Travel_Rarely,Research & Development,2,Medical,Male,2,Sales Executive,Single,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,3379096900,121,6.923570402298851,29,9.964218151340996
29,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Sales Executive,Married,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,987844900,324,6.725620713305898,18,10.002719478737998
31,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Laboratory Technician,Married,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,417793600,1,7.236498792270532,31,10.022519323671498
25,0,Non-Travel,Research & Development,4,Medical,Female,4,Laboratory Technician,Divorced,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,18127929600,49,7.080087844254511,27,9.96460351377018
45,0,Travel_Rarely,Research & Development,2,Medical,Male,2,Laboratory Technician,Married,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,6385608100,289,8.403485477178425,20,9.994065237436608
55,0,Travel_Rarely,Research & Development,4,Life Sciences,Female,1,Sales Executive,Single,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,3066944400,196,9.301409509946627,32,10.018693595342068
47,1,Non-Travel,Research & Development,1,Medical,Male,1,Research Scientist,Married,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,3320064400,1,9.399931442080378,26,10.00388888888889
28,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Manufacturing Director,Married,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,671846400,1,6.089687644075611,20,10.008491240202858
37,0,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Healthcare Representative,Married,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,2857971600,1,6.705174636661979,24,10.007346460384435
21,0,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,Single,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,1774936900,9,6.619040626529613,34,10.039029613313755
37,0,Non-Travel,Research & Development,3,Medical,Male,2,Sales Executive,Divorced,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,1703212900,1,11.014328139114726,15,10.008203477868113
35,0,Travel_Rarely,Sales,4,Life Sciences,Male,1,Sales Representative,Divorced,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,594384400,49,6.960253831417624,29,9.98879070881226
38,0,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Manager,Divorced,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,4719690000,64,9.293555796055795,30,10.030987253487254
26,0,Travel_Frequently,Research & Development,4,Other,Male,2,Laboratory Technician,Divorced,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,10913980900,1,7.590778256704981,29,9.993880507662837
50,0,Travel_Rarely,Sales,4,Life Sciences,Male,1,Research Scientist,Divorced,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,9345088900,64,6.008613495469718,28,9.988509775870291
53,0,Travel_Rarely,Research & Development,4,Life Sciences,Female,2,Research Scientist,Married,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,461390400,121,8.402108477011495,29,10.003424329501916
29,0,Travel_Frequently,Research & Development,4,Medical,Male,1,Laboratory Technician,Single,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,4241916900,256,7.093167388167388,30,9.971343193843193
